fixture_id;id_time;time;formation;coach
1035045;49;Chelsea;3-4-2-1;M. Pochettino
1035045;40;Liverpool;4-3-3;J. Klopp
1035055;48;West Ham;4-2-3-1;D. Moyes
1035055;49;Chelsea;3-4-2-1;M. Pochettino
1035062;49;Chelsea;3-4-2-1;M. Pochettino
1035062;1359;Luton;5-3-2;R. Edwards
1035071;49;Chelsea;3-4-2-1;M. Pochettino
1035071;65;Nottingham Forest;3-4-2-1;S. Cooper
1035077;35;Bournemouth;4-2-3-1;Andoni Iraola
1035077;49;Chelsea;4-2-3-1;M. Pochettino
1035046;33;Manchester United;4-1-4-1;E. ten Hag
1035046;39;Wolves;4-4-2;G. O'Neil
1035054;47;Tottenham;4-2-3-1;A. Postecoglou
1035054;33;Manchester United;4-2-3-1;E. ten Hag
1035064;33;Manchester United;4-2-3-1;E. ten Hag
1035064;65;Nottingham Forest;3-4-2-1;S. Cooper
1035067;42;Arsenal;4-3-3;Mikel Arteta
1035067;33;Manchester United;4-2-3-1;E. ten Hag
1035081;33;Manchester United;4-3-1-2;E. ten Hag
1035081;51;Brighton;4-2-3-1;R. De Zerbi
1035090;44;Burnley;4-3-3;V. Kompany
1035090;33;Manchester United;4-2-3-1;E. ten Hag
1035101;33;Manchester United;4-2-3-1;E. ten Hag
1035101;52;Crystal Palace;4-2-3-1;R. Hodgson
1035114;33;Manchester United;4-2-3-1;E. ten Hag
1035114;55;Brentford;3-5-2;T. Frank
1035125;62;Sheffield Utd;4-4-2;P. Heckingbottom
1035125;33;Manchester United;4-2-3-1;E. ten Hag
1035134;33;Manchester United;4-2-3-1;E. ten Hag
1035134;50;Manchester City;4-2-3-1;Pep Guardiola
1035140;36;Fulham;4-2-3-1;Marco Silva
1035140;33;Manchester United;4-2-3-1;E. ten Hag
1035296;45;Everton;4-4-1-1;S. Dyche
1035296;33;Manchester United;4-2-3-1;E. ten Hag
1035311;34;Newcastle;4-3-3;E. Howe
1035311;33;Manchester United;4-2-3-1;E. ten Hag
1035323;33;Manchester United;4-2-3-1;E. ten Hag
1035323;49;Chelsea;4-2-3-1;M. Pochettino
1035330;33;Manchester United;4-2-3-1;E. ten Hag
1035330;35;Bournemouth;4-2-3-1;Andoni Iraola
1035339;40;Liverpool;4-3-3;J. Klopp
1035339;33;Manchester United;4-2-3-1;E. ten Hag
1035361;33;Manchester United;4-2-3-1;E. ten Hag
1035361;66;Aston Villa;4-2-3-1;Unai Emery
1035370;65;Nottingham Forest;4-2-3-1;Nuno Espírito Santo
1035370;33;Manchester United;4-2-3-1;E. ten Hag
1035381;33;Manchester United;4-2-3-1;E. ten Hag
1035381;47;Tottenham;4-3-3;A. Postecoglou
1035390;39;Wolves;3-4-2-1;G. O'Neil
1035390;33;Manchester United;4-2-3-1;E. ten Hag
1035401;33;Manchester United;4-2-3-1;E. ten Hag
1035401;48;West Ham;4-2-3-1;D. Moyes
1035418;1359;Luton;3-4-2-1;R. Edwards
1035418;33;Manchester United;4-2-3-1;E. ten Hag
1035431;33;Manchester United;4-2-3-1;E. ten Hag
1035431;36;Fulham;4-2-3-1;Marco Silva
1035439;50;Manchester City;3-2-4-1;Pep Guardiola
1035439;33;Manchester United;4-2-4;E. ten Hag
1035451;33;Manchester United;4-3-1-2;E. ten Hag
1035451;45;Everton;4-4-1-1;S. Dyche
1035466;55;Brentford;3-5-2;T. Frank
1035466;33;Manchester United;4-2-3-1;E. ten Hag
1035490;33;Manchester United;4-2-3-1;E. ten Hag
1035490;40;Liverpool;4-3-3;J. Klopp
1035494;35;Bournemouth;4-2-3-1;Andoni Iraola
1035494;33;Manchester United;4-2-3-1;E. ten Hag
1035461;33;Manchester United;4-2-3-1;E. ten Hag
1035461;62;Sheffield Utd;3-5-2;C. Wilder
1035518;33;Manchester United;4-2-3-1;E. ten Hag
1035518;44;Burnley;4-4-2;V. Kompany
1035529;52;Crystal Palace;3-4-2-1;O. Glasner
